2010,2010rate,2000,2000rate,1990,1990rate,1980,1980rate,1970,1970rate,1960,1960rate,1950,1950rate,1940,1940rate,1930,1930rate,1920,1920rate,1910,1910rate,1900,County,County_FIPS,ANSI
54571,24.96,43671,27.61,34222,6.09,32259,31.88,24460,30.53,18739,3.04,18186,-13.31,20977,6.51,19694,4.16,18908,-5.64,20038,11.85,17915,Autauga,001,161526
182265,29.80,140415,42.87,98280,25.11,78556,32.29,59382,20.97,49088,19.74,40997,26.83,32324,14.26,28289,36.46,20730,14.04,18178,37.77,13194,Baldwin,003,161527
27457,-5.44,29038,14.25,25417,2.67,24756,9.82,22543,-8.73,24700,-14.51,28892,-11.70,32722,0.92,32425,1.12,32067,-2.02,32728,-6.90,35152,Barbour,005,161528
22915,10.03,20826,25.64,16576,5.43,15723,13.84,13812,-3.80,14357,-20.18,17987,-10.76,20155,-3.01,20780,-10.21,23144,1.55,22791,23.21,18498,Bibb,007,161529
57322,12.34,51024,30.00,39248,7.65,36459,35.77,26853,5.52,25449,-12.17,28975,-1.75,29490,5.25,28020,9.72,25538,19.02,21456,-7.19,23119,Blount,009,161530
10914,-6.83,11714,6.09,11042,4.21,10596,-10.39,11824,-12.17,13462,-16.15,16054,-18.96,19810,-1.03,20016,-20.99,25333,-16.10,30196,-5.47,31944,Bullock,011,161531
20947,-2.11,21399,-2.25,21892,0.98,21680,-1.49,22007,-10.39,24560,-15.97,29228,-9.92,32447,7.46,30195,2.25,29531,1.73,29030,12.69,25761,Butler,013,161532
118572,5.63,112249,-3.26,116034,-3.11,119761,16.17,103092,7.52,95878,20.54,79539,25.62,63319,13.86,55611,16.29,47822,22.26,39115,12.16,34874,Calhoun,015,161533
34215,-6.47,36583,-0.79,36876,-5.91,39191,7.80,36356,-3.89,37828,-4.30,39528,-6.21,42146,7.21,39313,-4.58,41201,14.27,36056,10.76,32554,Chambers,017,161534
25989,8.34,23988,22.74,19543,4.17,18760,20.21,15606,-4.28,16303,-7.55,17634,-11.51,19928,-1.44,20219,-3.08,20862,3.14,20226,-4.12,21096,Cherokee,019,161535
43643,10.23,39593,21.98,32458,6.03,30612,21.57,25180,-2.00,25693,-4.57,26922,-3.70,27955,13.74,24579,7.94,22770,-1.80,23187,40.34,16522,Chilton,021,161536
13859,-12.96,15922,-0.60,16018,-4.88,16839,1.51,16589,-7.17,17870,-6.69,19152,-5.16,20195,-1.55,20513,-1.16,20753,12.28,18483,1.91,18136,Choctaw,023,161537
25833,-7.30,27867,2.30,27240,-1.67,27702,3.66,26724,3.83,25738,-3.05,26548,-3.94,27636,6.23,26016,-1.49,26409,-14.77,30987,11.50,27790,Clarke,025,161538
13932,-2.26,14254,7.56,13252,-3.29,13703,8.44,12636,1.90,12400,-10.98,13929,-17.61,16907,-4.85,17768,-21.54,22645,7.80,21006,22.85,17099,Clay,027,161539
14972,6.01,14123,10.94,12730,1.07,12595,14.54,10996,0.78,10911,-8.34,11904,-12.66,13629,5.84,12877,-3.62,13360,-0.19,13385,1.36,13206,Cleburne,029,161540
49948,14.52,43615,8.39,40240,4.43,38533,10.50,34872,14.02,30583,-0.45,30720,-3.96,31987,-1.75,32556,8.27,30070,15.13,26119,24.54,20972,Coffee,031,161541
54428,-1.01,54984,6.42,51666,-5.23,54519,9.85,49632,6.72,46506,17.56,39561,16.04,34093,14.18,29860,-6.68,31997,29.01,24802,11.02,22341,Colbert,033,161542
13228,-6.11,14089,0.25,14054,-11.52,15884,1.53,15645,-11.92,17762,-18.43,21776,-14.57,25489,0.24,25429,3.40,24593,14.74,21433,22.38,17514,Conecuh,035,161543
11539,-5.43,12202,10.30,11063,-2.76,11377,6.71,10662,-0.60,10726,-8.84,11766,-12.59,13460,8.03,12460,-16.03,14839,-10.79,16634,3.04,16144,Coosa,037,161544
37765,0.36,37631,3.16,36478,-1.01,36850,8.13,34079,-4.36,35631,-11.75,40373,-4.82,42417,2.57,41356,8.54,38103,18.61,32124,109.33,15346,Covington,039,161545
13906,1.76,13665,0.22,13635,-3.37,14110,6.99,13188,-11.54,14909,-21.45,18981,-19.68,23631,-0.11,23656,2.78,23017,-1.27,23313,18.53,19668,Crenshaw,041,161546
80406,3.77,77483,14.60,67613,9.69,61642,17.54,52445,15.08,45572,-7.08,49046,3.60,47343,15.33,41051,24.27,33034,16.64,28321,58.67,17849,Cullman,043,161547
50251,2.28,49129,-1.02,49633,3.79,47821,-9.67,52938,70.40,31066,49.15,20828,-8.19,22685,-2.11,23175,2.04,22711,5.10,21608,1.98,21189,Dale,045,161548
43820,-5.49,46365,-3.67,48130,-10.84,53981,-2.38,55296,-2.42,56667,0.71,56270,1.86,55245,0.27,55094,0.73,54697,2.43,53401,-2.30,54657,Dallas,047,161549
71109,10.33,64452,17.93,54651,1.85,53658,27.81,41981,1.36,41417,-8.06,45048,4.58,43075,7.41,40104,16.49,34426,21.81,28261,19.96,23558,DeKalb,049,161550
79303,20.39,65874,33.86,49210,13.41,43390,29.39,33535,9.86,30524,-3.55,31649,-8.39,34546,0.78,34280,22.06,28085,-0.57,28245,8.22,26099,Elmore,051,161551
38319,-0.31,38440,8.23,35518,-7.60,38440,10.12,34906,4.16,33511,6.58,31443,2.52,30671,9.68,27963,24.48,22464,18.93,18889,66.86,11320,Escambia,053,161552
104430,0.94,103459,3.62,99840,-3.12,103057,9.47,94144,-2.92,96980,3.29,93892,29.36,72580,14.48,63399,34.11,47275,20.88,39109,42.94,27361,Etowah,055,161553
17241,-6.78,18495,2.97,17962,-4.50,18809,15.73,16252,0.64,16148,-16.71,19388,-10.45,21651,17.39,18443,0.42,18365,13.03,16248,14.97,14132,Fayette,057,161554
31704,1.54,31223,12.26,27814,-1.89,28350,18.46,23933,8.85,21988,-14.46,25705,-6.70,27552,8.59,25372,15.27,22011,13.64,19369,17.31,16511,Franklin,059,161555
26790,3.98,25764,8.95,23647,-2.50,24253,10.62,21924,-1.73,22310,-13.86,25899,-11.22,29172,-3.10,30104,2.69,29315,11.76,26230,37.36,19096,Geneva,061,161556
9045,-9.31,9974,-1.76,10153,-7.88,11021,3.48,10650,-21.69,13600,-17.49,16482,-14.09,19185,-2.84,19745,8.89,18133,-20.18,22717,-6.06,24182,Greene,063,161557
15760,-13.81,18285,17.98,15498,-0.68,15604,-1.79,15888,-18.68,19537,-6.22,20832,-18.41,25533,-2.79,26265,8.14,24289,-12.89,27883,-10.09,31011,Hale,065,161558
17302,6.08,16310,6.09,15374,0.47,15302,15.45,13254,-13.29,15286,-18.14,18674,-14.78,21912,-3.98,22820,5.91,21547,2.88,20943,-42.06,36147,Henry,067,161559
101547,14.37,88787,9.17,81331,8.98,74632,31.92,56574,11.55,50718,9.02,46522,1.88,45665,-0.59,45935,23.04,37334,15.18,32414,0,0,Houston,069,161560
53227,-1.30,53926,12.83,47796,-7.02,51407,31.13,39202,6.87,36681,-5.94,38998,-6.71,41802,13.34,36881,2.84,35864,8.95,32918,7.90,30508,Jackson,071,161561
658466,-0.54,662047,1.61,651525,-2.95,671324,4.08,644991,1.60,634864,13.59,558928,21.52,459930,6.59,431493,39.17,310054,36.90,226476,61.28,140420,Jefferson,073,161562
14564,-8.43,15904,1.20,15715,-4.49,16453,14.78,14335,0.45,14271,-13.20,16441,-16.58,19708,9.48,18001,-0.82,18149,3.79,17487,8.72,16084,Lamar,075,161563
92709,5.39,87966,10.43,79661,-1.10,80546,18.26,68111,10.53,61622,13.74,54179,17.19,46230,12.40,41130,3.98,39556,27.86,30936,16.48,26559,Lauderdale,077,161564
34339,-1.33,34803,10.44,31513,4.45,30170,10.59,27281,11.35,24501,-9.68,27128,-2.70,27880,3.48,26942,10.84,24307,10.57,21984,9.24,20124,Lawrence,079,161565
140247,21.86,115092,32.07,87146,14.24,76283,24.51,61268,23.14,49754,10.39,45073,23.64,36455,1.09,36063,9.88,32821,-0.14,32867,3.27,31826,Lee,081,161566
82782,26.05,65676,21.32,54135,17.67,46005,10.33,41699,14.20,36513,2.09,35766,0.35,35642,-2.69,36629,16.87,31341,16.60,26880,20.07,22387,Limestone,083,161567
11299,-16.14,13473,6.44,12658,-4.49,13253,2.76,12897,-16.35,15417,-14.44,18018,-20.49,22661,-0.95,22878,-9.95,25406,-20.34,31894,-10.54,35651,Lowndes,085,161568
21452,-11.01,24105,-3.30,24928,-7.09,26829,8.00,24841,-7.02,26717,-12.58,30561,10.51,27654,2.03,27103,15.03,23561,-9.55,26049,12.64,23126,Macon,087,161569
334811,21.00,276700,15.82,238912,21.30,196966,5.59,186540,58.96,117348,60.96,72903,9.93,66317,2.62,64623,26.05,51268,8.99,47041,7.64,43702,Madison,089,161570
21027,-6.71,22539,-2.36,23084,-7.84,25047,5.16,23819,-12.10,27098,-8.12,29494,-17.47,35736,-1.89,36426,1.00,36065,-9.66,39923,4.20,38315,Marengo,091,161572
30776,-1.40,31214,4.64,29830,-0.70,30041,26.29,23788,8.93,21837,-19.91,27264,-5.25,28776,10.82,25967,17.99,22008,25.80,17495,20.71,14494,Marion,093,161573
93019,13.12,82231,16.09,70832,7.94,65622,21.05,54211,12.90,48018,6.49,45090,6.36,42395,6.51,39802,21.83,32669,14.42,28553,22.60,23289,Marshall,095,161574
412992,3.29,399843,5.60,378643,3.74,364980,15.02,317308,0.96,314301,36.00,231105,62.78,141974,19.95,118363,18.22,100117,23.82,80854,28.87,62740,Mobile,097,161575
23068,-5.16,24324,1.49,23968,5.81,22651,8.47,20883,-6.66,22372,-13.06,25732,-12.67,29465,-2.01,30070,4.11,28884,6.37,27155,14.74,23666,Monroe,099,161576
229363,2.62,223510,6.90,209085,6.11,197038,17.43,167790,-0.84,169210,21.76,138965,21.45,114420,15.96,98671,22.04,80853,-1.61,82178,14.06,72047,Montgomery,101,161577
119490,7.59,111064,11.02,100043,10.87,90231,16.72,77306,27.88,60454,14.23,52924,9.92,48148,4.27,46176,14.88,40196,18.99,33781,17.21,28820,Morgan,103,161578
10591,-10.71,11861,-7.04,12759,-15.01,15012,-2.44,15388,-11.35,17358,-15.07,20439,-23.19,26610,0.85,26385,3.99,25373,-18.73,31222,-1.77,31783,Perry,105,161579
19746,-5.74,20949,1.21,20699,-3.64,21481,5.68,20326,-7.11,21882,-10.13,24349,-12.01,27671,11.12,24902,-1.78,25353,1.19,25055,2.68,24402,Pickens,107,161580
32899,11.13,29605,7.28,27595,-1.62,28050,12.03,25038,-3.65,25987,-15.10,30608,-5.80,32493,0.78,32240,1.93,31631,2.65,30815,5.63,29172,Pike,109,161581
22913,2.38,22380,12.57,19881,-0.97,20075,9.51,18331,-5.88,19477,-13.49,22513,-11.77,25516,-5.01,26861,-0.75,27064,9.75,24659,13.91,21647,Randolph,111,161582
52947,6.41,49756,6.18,46860,-1.05,47356,4.32,45394,-2.06,46351,14.83,40364,12.83,35775,30.68,27377,-0.26,27448,5.83,25937,-4.23,27083,Russell,113,161583
83593,29.12,64742,29.46,50009,21.37,41205,47.39,27956,10.12,25388,-4.87,26687,-2.37,27336,11.53,24510,4.82,23383,12.88,20715,6.64,19425,St. Clair,117,161584
195085,36.14,143293,44.22,99358,49.87,66298,74.30,38037,18.38,32132,5.83,30362,4.83,28962,5.03,27576,1.77,27097,0.55,26949,13.79,23684,Shelby,115,164997
13763,-6.99,14798,-8.51,16174,-4.34,16908,-0.39,16974,-15.30,20041,-15.12,23610,-13.58,27321,1.46,26929,5.32,25569,-10.91,28699,-12.26,32710,Sumter,119,161585
82291,2.45,80321,8.39,74107,0.38,73826,13.09,65280,-0.33,65495,2.92,63639,22.78,51832,14.57,45241,10.33,41005,8.13,37921,6.00,35773,Talladega,121,161586
41616,0.34,41475,6.82,38826,0.39,38676,14.29,33840,-3.33,35007,-0.19,35074,-0.56,35270,13.09,31188,4.85,29744,-4.16,31034,4.58,29675,Tallapoosa,123,161587
194656,18.06,164875,9.54,150522,9.44,137541,18.54,116029,6.40,109047,15.89,94092,23.75,76036,18.52,64153,19.51,53680,12.87,47559,31.57,36147,Tuscaloosa,125,161588
67023,-5.22,70713,4.50,67670,-1.44,68660,22.07,56246,3.75,54211,-14.99,63769,-0.67,64201,8.00,59445,17.50,50593,36.69,37013,47.10,25162,Walker,127,161589
17581,-2.85,18097,8.40,16694,-0.76,16821,3.57,16241,5.65,15372,-1.54,15612,-3.56,16188,-1.08,16365,14.61,14279,-1.21,14454,29.82,11134,Washington,129,161590
11670,-11.48,13183,-2.84,13568,-8.04,14755,-9.50,16303,-13.00,18739,-20.18,23476,-10.67,26279,5.62,24880,-19.95,31080,-8.07,33810,-5.11,35631,Wilcox,131,161591
24484,-1.45,24843,12.65,22053,0.46,21953,31.82,16654,12.09,14858,-18.59,18250,-2.65,18746,20.20,15596,8.47,14378,11.85,12855,34.55,9554,Winston,133,161592
